n,Runtime
500,0.0002007
1000,0.000400384
1500,0.00053678
2000,0.000656988
2500,0.000848908
3000,0.00109812
3500,0.001115448
4000,0.001259248
4500,0.001407748
5000,0.00157114
5500,0.001877516
6000,0.00188614
6500,0.002010484
7000,0.002170712
7500,0.002291888
8000,0.002499136
8500,0.002660796
9000,0.002802112
9500,0.003114884
10000,0.003309184
10500,0.0036069
11000,0.003545592
11500,0.003768148
12000,0.003964512
12500,0.004313636
13000,0.00402234
13500,0.004240964
14000,0.004598516
14500,0.005256608
15000,0.004615888
15500,0.004957932
16000,0.005310384
16500,0.005285868
17000,0.006003536
17500,0.005558644
18000,0.005644864
18500,0.005889264
19000,0.005860224
19500,0.006269656
20000,0.006191328
20500,0.006308288
21000,0.006962712
21500,0.006919124
22000,0.006935124
22500,0.007110924
23000,0.007183004
23500,0.00833388
24000,0.007481364
24500,0.007712192
25000,0.008034548
25500,0.0082183
26000,0.008446
26500,0.00822202
27000,0.008508108
27500,0.008431576
28000,0.008500812
28500,0.009893128
29000,0.009515892
29500,0.009585856
30000,0.010373116
30500,0.009862428
31000,0.010409172
31500,0.010494092
32000,0.010185448
32500,0.010950612
33000,0.0120875
33500,0.01084144
34000,0.011603592
34500,0.01198464
35000,0.011053308
35500,0.011833188
36000,0.011791872
36500,0.011819392
37000,0.011933976
37500,0.012254328
38000,0.01256488
38500,0.012871656
39000,0.013399392
39500,0.01242094
40000,0.012607492
40500,0.01239386
41000,0.013178084
41500,0.013864948
42000,0.013692524
42500,0.013941636
43000,0.013568976
43500,0.014181184
44000,0.014998064
44500,0.0150147
45000,0.015488392
45500,0.015251556
46000,0.015541844
46500,0.015706208
47000,0.01638052
47500,0.01598086
48000,0.0157178
48500,0.015388928
49000,0.01525534
49500,0.015551104
50000,0.015748704
50500,0.016555448
51000,0.017792944
51500,0.016335152
52000,0.016761508
52500,0.017352324
53000,0.017330888
53500,0.016592736
54000,0.01735692
54500,0.0184372
55000,0.017758144
55500,0.018582164
56000,0.018946604
56500,0.018883976
57000,0.018231116
57500,0.018595536
58000,0.017790164
58500,0.020386776
59000,0.01845624
59500,0.019644216
60000,0.019407944
60500,0.020271892
61000,0.019603656
61500,0.019999392
62000,0.02110376
62500,0.020472524
63000,0.020950084
63500,0.021441164
64000,0.022043724
64500,0.02011588
65000,0.021129632
65500,0.0220824
66000,0.021804448
66500,0.02186884
67000,0.021075168
67500,0.021855364
68000,0.021578212
68500,0.023282076
69000,0.022733552
69500,0.023261488
70000,0.02375994
70500,0.024284804
71000,0.023658056
71500,0.023552432
72000,0.024895856
72500,0.022881876
73000,0.02311202
73500,0.023659944
74000,0.023534652
74500,0.024114892
75000,0.023621152
75500,0.024736968
76000,0.025666072
76500,0.025212948
77000,0.024890176
77500,0.024508956
78000,0.026584608
78500,0.025888144
79000,0.024499276
79500,0.025737012
80000,0.026119132
80500,0.026107636
81000,0.025812096
81500,0.02606108
82000,0.026535396
82500,0.0271778
83000,0.026907528
83500,0.027350864
84000,0.027575192
84500,0.027404676
85000,0.02820196
85500,0.027621312
86000,0.028444772
86500,0.027469252
87000,0.028998372
87500,0.028846532
88000,0.027805096
88500,0.029477848
89000,0.029133376
89500,0.030369984
90000,0.028767536
90500,0.0283545
91000,0.03016574
91500,0.030088532
92000,0.030162424
92500,0.031579464
93000,0.030179932
93500,0.031206832
94000,0.031959916
94500,0.030901256
95000,0.031144408
95500,0.031941052
96000,0.031269472
96500,0.031990788
97000,0.031815504
97500,0.031463908
98000,0.03402916
98500,0.031303312
99000,0.032015768
99500,0.032691596
100000,0.033353608
100500,0.033201364
101000,0.033069952
101500,0.034335348
102000,0.033616208
102500,0.0337413
103000,0.034828372
103500,0.033309028
104000,0.0335723
104500,0.034091104
105000,0.034493208
105500,0.034119712
106000,0.035717736
106500,0.034375096
107000,0.034791076
107500,0.035668228
108000,0.035162072
108500,0.03500398
109000,0.035274972
109500,0.035935888
110000,0.035164088
110500,0.035715388
111000,0.037255264
111500,0.037099192
112000,0.0358538
112500,0.036622836
113000,0.03769164
113500,0.036728964
114000,0.037304996
114500,0.03731824
115000,0.037499488
115500,0.03834286
116000,0.038176004
116500,0.036918436
117000,0.038535836
117500,0.039325188
118000,0.039363772
118500,0.039672024
119000,0.038937772
119500,0.039901028
120000,0.037989456
120500,0.038879168
121000,0.040130904
121500,0.039862564
122000,0.039976128
122500,0.04049534
123000,0.041628588
123500,0.04080006
124000,0.041681716
124500,0.041434628
125000,0.040178136
125500,0.041284656
126000,0.042348088
126500,0.040121092
127000,0.042304052
127500,0.042159584
128000,0.042170052
128500,0.042571328
129000,0.043175204
129500,0.04328898
130000,0.044564112
130500,0.043480476
131000,0.043240532
131500,0.042577324
132000,0.044083804
132500,0.04420022
133000,0.044461008
133500,0.043585444
134000,0.044710248
134500,0.043869008
135000,0.044537604
135500,0.04296358
136000,0.042339372
136500,0.042497532
137000,0.044513608
137500,0.044612084
138000,0.044723676
138500,0.046082708
139000,0.046721336
139500,0.044913664
140000,0.045572412
140500,0.04515176
141000,0.046596528
141500,0.046629512
142000,0.04661138
142500,0.045370704
143000,0.047800272
143500,0.04892756
144000,0.045532708
144500,0.048269236
145000,0.046899384
145500,0.048047528
146000,0.047424996
146500,0.048460748
147000,0.0492292
147500,0.048924876
148000,0.050352988
148500,0.046398964
149000,0.050297448
149500,0.049851368
150000,0.049268956
150500,0.04999416
151000,0.049894532
151500,0.048987612
152000,0.049886588
152500,0.049697548
153000,0.050420612
153500,0.050222736
154000,0.048065828
154500,0.049454312
155000,0.051375264
155500,0.052038516
156000,0.050797728
156500,0.053215284
