n,Runtime
50,0.00016776
100,0.00030028
150,0.000439792
200,0.000621092
250,0.0007659
300,0.001006748
350,0.001204852
400,0.001311864
450,0.001565672
500,0.001794212
550,0.002028904
600,0.00223
650,0.002449196
700,0.002601748
750,0.002846496
800,0.003133248
850,0.003303436
900,0.003506192
950,0.003760884
1000,0.004401616
1050,0.004266284
1100,0.004507904
1150,0.004661836
1200,0.00491136
1250,0.005188232
1300,0.005350664
1350,0.00581454
1400,0.005878324
1450,0.00609498
1500,0.00646214
1550,0.006451336
1600,0.007189084
1650,0.007285872
1700,0.007306396
1750,0.007942248
1800,0.008285604
1850,0.008027788
1900,0.008594664
1950,0.008627508
2000,0.008666328
2050,0.00866094
2100,0.009448852
2150,0.009517212
2200,0.009871212
2250,0.010340196
2300,0.010231404
2350,0.010723156
2400,0.011030636
2450,0.010895108
2500,0.01187394
2550,0.012562844
2600,0.01189172
2650,0.01220622
2700,0.01205586
2750,0.012257428
2800,0.013089308
2850,0.012800032
2900,0.013382592
2950,0.013781892
3000,0.013555396
3050,0.013797084
3100,0.014306556
3150,0.014686304
3200,0.01542912
3250,0.015633364
3300,0.015903428
3350,0.015431424
3400,0.015888948
3450,0.0163524
3500,0.016305924
3550,0.017111708
3600,0.017143972
3650,0.01759826
3700,0.017415032
3750,0.017750848
3800,0.018235896
3850,0.018152072
3900,0.018376068
3950,0.018633568
4000,0.019677776
4050,0.019231212
4100,0.019866532
4150,0.020175204
4200,0.021028392
4250,0.020221804
4300,0.02117726
4350,0.020728884
4400,0.022373792
4450,0.022012768
4500,0.022545984
4550,0.022748176
4600,0.022314984
4650,0.023129132
4700,0.02325044
4750,0.023189076
4800,0.024082012
4850,0.023842628
4900,0.023949584
4950,0.024486788
5000,0.024673492
5050,0.0251902
5100,0.025577352
5150,0.025337936
5200,0.025980768
5250,0.026220216
5300,0.02612742
5350,0.026590572
5400,0.027031104
5450,0.027013152
5500,0.027957864
5550,0.028179352
5600,0.028903832
5650,0.028373564
5700,0.028426684
5750,0.02913432
5800,0.028966744
5850,0.029447628
5900,0.029987792
5950,0.02981946
6000,0.030110956
6050,0.030182208
6100,0.030291336
6150,0.030705148
6200,0.03150184
6250,0.032198996
6300,0.03212364
6350,0.032694772
6400,0.032792936
6450,0.0335118
6500,0.03403066
6550,0.035417448
6600,0.0361119
6650,0.038896904
6700,0.03583956
6750,0.03634096
6800,0.035049988
6850,0.034155764
6900,0.036481928
6950,0.036728252
7000,0.035492916
7050,0.036217852
7100,0.037172392
7150,0.037158384
7200,0.037429812
7250,0.039053912
7300,0.03910378
7350,0.038630004
7400,0.041107832
7450,0.038768424
7500,0.03861878
7550,0.041159124
7600,0.0402474
7650,0.041061992
7700,0.040906828
7750,0.040076508
7800,0.040605956
7850,0.040719328
7900,0.0404279
7950,0.04190418
8000,0.042795336
8050,0.042846128
8100,0.043655528
8150,0.0430899
8200,0.04303276
8250,0.04402498
8300,0.0435942
8350,0.044341568
8400,0.045064848
8450,0.0444559
8500,0.044950876
8550,0.04622308
8600,0.04562676
8650,0.046051068
8700,0.046305824
8750,0.04641292
8800,0.046361752
8850,0.047135324
8900,0.048545324
8950,0.04875568
9000,0.04750006
9050,0.04951414
9100,0.048613808
9150,0.0477418
9200,0.048451112
9250,0.04863132
9300,0.049958244
9350,0.051319548
9400,0.049538548
9450,0.049495076
9500,0.050079152
9550,0.053188908
9600,0.052334512
9650,0.051658664
9700,0.052868704
9750,0.051909176
9800,0.052755784
9850,0.054381204
9900,0.052536848
9950,0.05358376
10000,0.052353768
10050,0.053424872
10100,0.054729852
10150,0.055687308
10200,0.05555932
10250,0.054927656
10300,0.055525484
10350,0.056205728
10400,0.059071028
10450,0.059113752
10500,0.057365672
10550,0.05603404
10600,0.057775652
10650,0.057931604
10700,0.059090888
10750,0.05798996
10800,0.061686432
10850,0.060071088
10900,0.059701188
10950,0.058687484
11000,0.05836074
11050,0.060826796
11100,0.059343956
11150,0.060574144
11200,0.061157168
11250,0.06098512
11300,0.062291284
11350,0.061079728
11400,0.060751252
11450,0.062463916
11500,0.065235756
11550,0.062605012
11600,0.063331692
11650,0.064600656
11700,0.062614236
11750,0.0626955
11800,0.063662276
11850,0.06445426
11900,0.067732384
11950,0.066998296
12000,0.066188268
12050,0.064330636
12100,0.065956668
12150,0.06647074
12200,0.066907008
12250,0.066723052
12300,0.068192304
12350,0.067955624
12400,0.067492076
12450,0.06919988
12500,0.074016284
12550,0.06998978
12600,0.069229812
12650,0.071268012
12700,0.072647544
12750,0.08191428
12800,0.076055764
12850,0.077197232
12900,0.07550898
12950,0.075899684
13000,0.075394564
13050,0.07667946
13100,0.077656164
13150,0.076812212
13200,0.08118926
13250,0.078966684
13300,0.073382916
13350,0.076775172
13400,0.075655648
13450,0.074188024
13500,0.076235376
13550,0.07598902
13600,0.076982004
13650,0.075664688
13700,0.075841072
13750,0.080999424
13800,0.078534228
13850,0.078829224
13900,0.076660176
13950,0.07740152
14000,0.078791616
14050,0.079104128
14100,0.07893162
14150,0.07965344
14200,0.079754832
14250,0.079756456
14300,0.079952224
14350,0.083042972
14400,0.080709652
14450,0.080162064
14500,0.082709256
14550,0.082813388
14600,0.084109584
14650,0.086194812
14700,0.088739404
14750,0.082452008
14800,0.084539408
14850,0.08599428
14900,0.085051912
14950,0.084856372
15000,0.086314492
15050,0.084309152
15100,0.08435434
15150,0.08509834
15200,0.086099564
15250,0.085866124
15300,0.086611872
15350,0.087886624
15400,0.088277768
15450,0.08680874
15500,0.088048048
15550,0.085414788
15600,0.08937268
15650,0.088137084
15700,0.086558404
15750,0.087933284
15800,0.090843036
15850,0.097263696
15900,0.08916064
15950,0.090323444
16000,0.093204396
16050,0.091356604
16100,0.0893104
16150,0.089602428
16200,0.0900283
16250,0.090778032
16300,0.093139384
16350,0.091374952
16400,0.092816428
16450,0.093116116
16500,0.095748132
16550,0.093659784
16600,0.0936689
16650,0.092918112
16700,0.093253484
16750,0.094699908
16800,0.095609764
16850,0.093177288
16900,0.0955927
16950,0.095119328
17000,0.096873316
17050,0.094591524
17100,0.097615436
17150,0.096938016
17200,0.098218656
17250,0.098221124
17300,0.099511416
17350,0.098143368
17400,0.102569576
17450,0.097955664
17500,0.098897364
17550,0.099693548
